X,Y,Z,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,z_extractedfirst,x,y
497113.976506366,5420050.13178718,281.981628417969,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","0","0","0","0",0.00000000000000,51.45671922606426,281.981628417969,497113.9765063661,5420050.1317871809
497126.653678601,5420048.81349312,288.893310546875,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","1","0","0","1",0.00017350172910,51.43772458694422,288.893310546875,497126.6536786011,5420048.8134931186
497127.765087519,5420059.44019695,285.748443603516,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","2","0","0","2",0.00027028690358,51.45460280388047,285.748443603516,497127.7650875189,5420059.4401969463
497136.392285496,5420058.53532325,280.740997314453,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","3","0","0","3",0.00038836505566,141.46532240297071,280.740997314453,497136.3922854963,5420058.5353232538
497135.972758678,5420054.53363545,285.634338378906,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","4","0","0","4",0.00042481351242,141.45653362405554,285.634338378906,497135.9727586776,5420054.5336354515
497138.433490327,5420054.27669259,278.452941894531,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","5","0","0","5",0.00045849214066,141.45384116979565,278.452941894531,497138.4334903265,5420054.2766925935
497136.821620463,5420038.89242548,277.588226318359,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","6","0","0","6",0.00059861412324,231.45271662329219,277.588226318359,497136.8216204633,5420038.8924254784
497113.056462409,5420041.37254198,281.94189453125,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","7","0","0","7",0.00092387262044,321.46368411758192,281.94189453125,497113.0564624095,5420041.3725419771
497113.976506366,5420050.13178718,281.981628417969,"6846063",,,multipolygon,,,,,,commercial,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""1"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e""","8","0","0","8",0.00100365789476,51.45671922606426,281.981628417969,497113.9765063661,5420050.1317871809
497081.484614149,5419975.32425224,278.694610595703,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","0","0","0","0",0.00000000000000,210.22056516931758,278.694610595703,497081.4846141487,5419975.3242522394
497077.17662975,5419972.63634455,274.600616455078,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","1","0","0","1",0.00006358521841,211.85433636071400,274.600616455078,497077.1766297499,5419972.6363445465
497077.741268205,5419959.98558761,286.431274414062,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","2","0","0","2",0.00017765221626,174.17325832332452,286.431274414063,497077.7412682055,5419959.9855876062
497078.979064947,5419946.06720838,284.650146484375,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","3","0","0","3",0.00030400109833,129.93427230981263,284.650146484375,497078.9790649472,5419946.0672083804
497083.000151845,5419946.32077672,286.231231689453,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","4","0","0","4",0.00035894925572,87.62063927318178,286.231231689453,497083.0001518450,5419946.3207767224
497090.998373889,5419946.8168287,278.036773681641,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","5","0","0","5",0.00046824193617,40.70566467891275,278.036773681641,497090.9983738891,5419946.8168286970
497088.35178083,5419983.89139839,275.393463134766,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","6","0","0","6",0.00080372250192,310.32498245760968,275.393463134766,497088.3517808302,5419983.8913983908
497080.829613597,5419983.27282017,274.769348144531,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","7","0","0","7",0.00090657506630,219.85547853556088,274.769348144531,497080.8296135972,5419983.2728201672
497081.280833406,5419977.7921994,278.707458496094,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","8","0","0","8",0.00095626339491,172.82176952261099,278.707458496094,497081.2808334064,5419977.7921994003
497081.484614149,5419975.32425224,278.694610595703,,"23698370",Hotel Post,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""23"",""addr:postcode""=>""71665"",""addr:street""=>""Franckstra??e"",""beds""=>""53"",""email""=>""info@hotel-post-garni.de"",""fax""=>""+49 7042 9531-44"",""internet_access""=>""wlan"",""phone""=>""+49 7042 9531-0"",""website""=>""http://www.hotel-post-vaihingen.de/""","9","0","0","9",0.00097863927479,210.22056516931758,278.694610595703,497081.4846141487,5419975.3242522394
497293.383561274,5420016.37008104,290.857513427734,,"25123306",Vaihingen (Enz) Stadt,,,,,,,train_station,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""13"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e"",""disused:public_transport""=>""station""","0","0","0","0",0.00000000000000,272.36639259240332,290.857513427734,497293.3835612742,5420016.3700810382
497283.164633463,5420027.52480713,282.962707519531,,"25123306",Vaihingen (Enz) Stadt,,,,,,,train_station,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""13"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e"",""disused:public_transport""=>""station""","1","0","0","1",0.00017189604417,272.35580970378817,282.962707519531,497283.1646334628,5420027.5248071318
497277.332104089,5420022.21401881,286.631439208984,,"25123306",Vaihingen (Enz) Stadt,,,,,,,train_station,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""13"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e"",""disused:public_transport""=>""station""","2","0","0","2",0.00026474538450,182.35083347775026,286.631439208984,497277.3321040887,5420022.2140188115
497297.543074853,5420000.16035169,286.754516601562,,"25123306",Vaihingen (Enz) Stadt,,,,,,,train_station,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""13"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e"",""disused:public_transport""=>""station""","3","0","0","3",0.00060467787779,92.34014845211350,286.754516601563,497297.5430748526,5420000.1603516880
497304.797105798,5420006.77109104,287.384155273438,,"25123306",Vaihingen (Enz) Stadt,,,,,,,train_station,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""13"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e"",""disused:public_transport""=>""station""","4","0","0","4",0.00072018220672,2.34500560505193,287.384155273438,497304.7971057977,5420006.7710910402
497294.812382667,5420017.67000498,290.857543945312,,"25123306",Vaihingen (Enz) Stadt,,,,,,,train_station,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""13"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e"",""disused:public_transport""=>""station""","5","0","0","5",0.00088813743885,272.36627351930377,290.857543945313,497294.8123826674,5420017.6700049844
497293.383561274,5420016.37008104,290.857513427734,,"25123306",Vaihingen (Enz) Stadt,,,,,,,train_station,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""13"",""addr:postcode""=>""71665"",""addr:street""=>""Hans-Krieg-Stra??e"",""disused:public_transport""=>""station""","6","0","0","6",0.00091087815124,272.36639259240332,290.857513427734,497293.3835612742,5420016.3700810382
497066.876560383,5419912.53540321,288.493560791016,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","0","0","0","0",0.00000000000000,225.72206277796431,288.493560791016,497066.8765603830,5419912.5354032097
497066.165710219,5419911.76874648,281.466949462891,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","1","0","0","1",0.00001190378091,241.54871844884141,281.466949462891,497066.1657102192,5419911.7687464776
497065.271878288,5419911.23563064,291.788543701172,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","2","0","0","2",0.00002501408221,254.53044339665348,291.788543701172,497065.2718782878,5419911.2356306398
497064.261005778,5419910.98048659,292.026153564453,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","3","0","0","3",0.00003900443602,265.87398599055155,292.026153564453,497064.2610057780,5419910.9804865932
497063.220988925,5419911.01438442,291.789703369141,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","4","0","0","4",0.00005320760468,276.10691752388118,291.789703369141,497063.2209889252,5419911.0143844206
497062.957359282,5419911.0923383,289.277130126953,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","5","0","0","5",0.00005687502885,281.76617427926283,289.277130126953,497062.9573592818,5419911.0923382994
497062.232393935,5419911.33728161,288.474090576172,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","6","0","0","6",0.00006701652775,288.44946386985214,288.474090576172,497062.2323939353,5419911.3372816136
497061.375775251,5419911.92690283,287.638610839844,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","7","0","0","7",0.00007986098181,301.51496414994119,287.638610839844,497061.3757752508,5419911.9269028259
497060.717021257,5419912.72763122,290.544250488281,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","8","0","0","8",0.00009138660543,318.02973734098123,290.544250488281,497060.7170212567,5419912.7276312150
497060.314696048,5419913.6838538,286.527008056641,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","9","0","0","9",0.00010159493537,338.81894582470073,286.527008056641,497060.3146960484,5419913.6838538032
497060.198055154,5419914.7177403,278.604400634766,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","10","0","0","10",0.00011103156612,2.35425966327982,278.604400634766,497060.1980551539,5419914.7177403020
497060.374381503,5419915.75147207,286.204315185547,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","11","0","0","11",0.00012063625248,26.05277393071889,286.204315185547,497060.3743815026,5419915.7514720717
497060.843616231,5419916.6738852,281.770538330078,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","12","0","0","12",0.00013111718755,45.96428117342381,281.770538330078,497060.8436162306,5419916.6738852039
497061.547142325,5419917.44054513,285.711853027344,,"50548563",Haspelturm,,,,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Vaihingen an der Enz"",""addr:country""=>""DE"",""addr:housenumber""=>""16"",""addr:postcode""=>""71665"",""addr:street""=>""Turmstra??e"",""alt_name""=>""Diebsturm""","13","0","0","13",0.00014293962385,61.40825880734491,285.711853027344,497061.5471423249,5419917.4405451296
